anio,potencia_hp,cilindrada_cm3,peso_kg,puertas,airbags,tipo_combustible,largo_mm,ancho_mm,alto_mm,traccion,transmision_automatica,torque_nm,seguridad_esp_abs,consumo_litros_100km,emisiones_co2_g_km,cero_a_cien_seg,capacidad_baul_litros,rango_precio
2006,110,1459,1123,5,6,0,4548,1771,1548,0,0,257,1,4.8,90,11.16,248,0
2020,177,2816,1317,5,2,1,4768,1851,1487,0,0,214,1,3.71,75,11.47,274,3
2018,141,1784,1485,4,9,0,4682,1785,1472,0,0,159,1,5.79,135,10.98,277,2
2013,129,2314,1355,5,7,0,4439,1688,1583,0,1,328,1,4.11,84,13.1,475,1
2013,136,1773,1047,5,5,0,4810,1846,1319,1,0,276,1,3.5,82,10.89,230,2
2022,149,1785,1647,4,3,0,4412,1649,1549,0,1,317,0,4.12,115,12.32,449,3
2006,165,1508,850,4,4,0,4574,1803,1412,2,1,282,1,3.5,75,10.0,417,2
2018,100,1860,1288,5,5,1,4407,1749,1538,0,0,192,1,4.22,83,12.15,392,1
2009,98,1959,1245,5,2,0,4639,1744,1460,0,0,100,1,5.71,102,11.95,340,0
2006,184,1408,1437,4,4,0,4387,1794,1351,2,0,146,0,5.76,112,12.56,484,1
2015,124,1737,1540,5,3,0,4994,1723,1410,0,1,258,1,5.85,124,13.21,399,0
2024,83,1495,1682,5,2,0,5105,1821,1532,1,1,214,1,4.41,87,13.16,263,1
2019,158,2950,1222,5,3,0,4762,1785,1433,0,0,195,1,4.62,109,10.35,276,3
2020,159,1755,1547,5,4,1,4962,1731,1400,0,1,100,0,4.88,104,10.92,240,1
2019,79,2573,1449,3,5,0,4038,1887,1400,1,1,219,1,6.74,154,12.43,479,1
2020,149,1702,972,3,4,1,4074,1796,1501,0,0,155,0,3.5,75,10.16,500,1
2015,169,1930,1875,4,7,0,4404,1830,1590,0,1,177,0,7.39,158,13.03,478,3
2007,155,1139,1040,4,6,0,4512,1893,1279,0,1,271,1,3.5,75,11.23,367,2
2021,165,1576,1505,4,3,0,4441,1892,1674,0,1,158,1,5.02,107,12.14,254,3
2014,84,1905,1497,5,9,0,4007,1826,1466,0,0,164,1,5.14,120,12.22,276,1
2015,153,2593,1469,5,7,0,4845,1756,1496,1,0,231,0,5.64,92,11.99,298,1
2012,128,1911,1276,4,5,1,5146,1666,1415,0,0,272,1,3.85,84,10.96,387,3
2008,121,2492,1607,5,2,1,4884,1797,1450,2,0,196,1,4.84,89,12.51,513,2
2023,175,2120,1010,3,9,1,4826,1868,1465,0,0,308,0,3.5,75,11.22,512,3
2020,199,2614,1384,4,7,1,4568,1808,1366,0,1,143,1,4.66,77,11.26,337,2
2017,212,1770,1259,2,5,0,4247,1600,1386,0,0,133,0,5.04,105,11.04,180,2
2013,193,2995,1231,4,3,0,4522,1850,1545,1,0,128,0,6.82,156,9.76,277,0
2021,136,1557,1507,4,2,0,5132,1855,1326,1,1,121,1,4.8,112,11.25,499,2
2015,154,1417,1669,5,4,1,4394,1756,1485,0,0,240,0,3.77,75,12.49,399,1
2013,171,1195,1314,4,3,0,4364,1859,1420,0,0,161,1,3.5,81,12.0,346,1
2014,145,2966,1595,4,3,0,4832,1830,1373,1,1,135,1,7.94,202,12.41,348,0
2009,145,2210,1412,2,5,0,4852,1725,1608,0,1,243,0,6.68,137,13.47,320,2
2006,173,1633,1177,3,2,0,4246,1882,1374,0,0,269,1,4.94,109,10.21,267,2
2016,138,2425,1336,5,4,1,4422,1679,1360,1,1,283,1,4.45,75,11.71,563,3
2022,111,2144,1325,5,8,0,4349,1775,1435,0,1,273,1,5.36,103,12.5,531,3
2006,123,2783,1226,4,8,0,4521,1767,1389,1,1,165,1,6.57,150,12.35,306,1
2022,165,1026,1507,4,2,1,4831,1714,1451,1,1,237,1,3.5,83,11.78,228,3
2021,140,1667,1459,4,7,0,4259,1804,1462,0,0,250,1,4.69,95,11.4,391,2
2010,154,1569,1002,4,9,0,4827,1885,1469,0,0,192,0,3.5,105,11.33,375,1
2017,167,813,987,4,6,0,4530,1880,1440,0,1,230,0,3.5,80,11.15,438,1
2008,125,2330,1506,2,5,0,5198,1838,1394,1,0,145,1,7.09,129,12.11,471,2
2020,170,1665,1196,4,5,0,4596,1644,1501,0,0,182,0,4.77,123,11.45,276,3
2019,155,2170,1476,4,3,0,4471,1673,1441,0,0,242,0,5.39,98,11.81,493,3
2012,91,2980,1595,4,5,0,4672,1793,1410,0,0,310,1,4.5,103,12.81,351,1
2006,198,1623,1082,3,9,0,4399,1777,1568,0,0,289,1,3.5,75,10.48,434,3
2024,120,1589,1047,4,6,0,3961,1740,1440,0,0,260,1,3.5,75,10.96,345,2
2013,74,1859,1819,4,5,1,4428,1932,1537,0,1,225,1,5.2,123,13.3,464,0
2022,98,2294,1488,4,2,0,4423,1788,1548,0,0,215,0,5.37,114,12.28,180,2
2018,99,1517,1295,4,9,0,4022,1823,1553,0,1,133,1,4.31,117,12.52,438,0
2020,142,1485,1167,4,3,0,4478,1859,1505,1,0,170,1,3.5,75,10.31,306,1
2020,129,2329,1272,5,7,0,3880,1784,1450,1,0,172,1,4.79,83,12.36,374,2
2008,127,1989,1102,5,4,1,4396,1987,1445,0,1,254,0,3.5,75,11.79,492,2
2012,165,800,1621,3,4,0,4573,1705,1430,0,0,277,0,3.99,122,11.42,308,1
2014,154,1187,1206,5,3,0,4529,1732,1277,0,0,264,1,5.11,125,12.33,292,2
2014,153,2551,1673,5,5,0,4377,1705,1508,0,1,291,1,6.02,142,12.64,344,3
2005,156,2001,1300,4,7,1,4474,1905,1470,2,0,224,0,3.5,79,10.73,342,2
2015,165,1419,1139,4,5,0,4265,1844,1516,0,0,161,1,5.06,104,12.04,282,1
2008,60,1715,1293,4,2,1,4503,1736,1441,0,1,217,0,3.5,100,13.78,389,0
2019,125,1807,850,2,4,0,4517,1711,1503,0,0,177,1,3.76,88,10.45,394,1
2018,60,2168,1370,5,3,0,4230,1891,1340,1,1,259,1,4.44,103,12.93,416,3
2023,141,1121,1357,4,5,1,4580,1809,1356,0,0,198,1,3.5,83,11.55,307,2
2019,140,1380,1606,4,9,0,4578,1893,1252,2,0,214,1,4.84,88,11.2,296,2
2012,182,1936,928,4,9,0,4450,1775,1439,0,0,262,1,4.41,85,10.67,368,2
2024,188,1750,1690,2,9,0,5200,1821,1388,0,1,176,1,5.18,110,12.73,372,3
2013,148,2086,1605,3,2,0,4458,1804,1378,0,0,278,1,5.24,131,12.63,358,0
2011,120,1185,1713,4,5,0,4416,1730,1477,1,1,139,1,5.45,99,13.11,314,1
2023,159,1979,1387,4,2,0,4373,1768,1416,0,1,238,1,4.39,96,12.53,407,2
2012,119,2346,1653,5,5,0,4209,1685,1335,2,1,215,1,4.65,99,12.3,287,3
2006,140,2043,1032,4,6,0,4706,1820,1654,2,0,270,1,3.73,75,12.27,376,2
2014,179,1870,1578,4,8,0,4294,1841,1447,0,1,138,1,7.73,158,11.64,349,2
2020,118,1752,1207,5,4,1,4330,1859,1363,0,1,128,1,3.5,79,11.7,374,1
2008,172,1383,987,2,2,0,4339,1833,1396,0,0,265,1,3.55,75,10.36,483,2
2014,167,1764,1119,4,5,0,4205,1770,1436,1,1,197,1,3.76,99,10.95,256,3
2007,102,2430,1401,5,5,0,3975,1904,1436,1,0,215,1,7.14,167,12.26,180,0
2018,179,1740,1194,4,6,0,4361,1851,1554,0,1,180,1,3.5,81,11.2,325,3
2014,168,1355,1494,3,2,0,4762,1891,1444,2,1,275,1,4.75,105,12.15,283,1
2011,144,1554,948,4,6,1,4559,1896,1598,0,0,238,0,3.5,75,10.48,180,3
2009,110,1900,868,3,5,1,4968,1770,1415,1,0,234,1,3.5,75,11.32,546,1
2016,106,1613,1743,4,7,0,4725,1811,1484,1,0,150,1,5.0,115,12.36,436,0
2018,118,2043,1626,3,9,1,4657,1842,1532,0,0,250,1,4.81,92,13.08,445,0
2023,162,2061,1138,4,3,1,5065,1688,1546,0,1,160,1,3.5,75,11.86,366,3
2013,102,2244,1399,3,8,1,4471,1690,1555,0,0,180,0,4.25,78,12.37,417,0
2008,158,2512,1655,2,3,1,4519,1676,1428,2,1,138,1,6.43,143,12.12,341,2
2021,90,2298,1505,4,9,0,4497,1771,1450,0,1,211,0,5.76,136,13.22,453,0
2017,132,1333,1437,3,5,0,4963,1753,1252,1,1,284,0,4.83,83,11.86,404,1
2019,144,1348,1674,5,7,0,4501,1665,1434,0,0,234,1,5.31,118,12.44,375,1
2006,238,1762,1217,4,8,0,4306,1792,1537,0,1,193,1,5.25,92,10.59,381,2
2011,85,1574,1408,4,6,1,4676,1772,1522,2,0,227,0,4.96,77,14.17,516,0
2020,199,1231,1396,3,5,0,4255,1875,1443,0,0,226,1,3.84,78,10.47,391,3
2021,146,1579,1332,4,8,0,4660,1941,1586,1,0,224,0,4.85,147,10.11,294,1
2013,156,1563,1303,4,5,1,4624,1817,1419,0,1,231,1,3.5,81,11.45,413,2
2021,145,1464,1418,5,7,0,4443,1724,1393,0,0,158,1,3.5,92,10.87,422,1
2021,158,1642,1409,4,6,1,4670,1832,1413,0,0,226,0,5.15,117,11.29,371,3
2012,134,2389,1138,4,5,0,4054,1781,1360,0,0,115,1,4.43,100,10.69,366,1
2022,198,1900,1600,4,2,0,4549,1761,1500,1,1,255,1,5.49,136,11.38,285,3
2010,122,3036,1156,5,4,0,4361,1711,1473,0,1,154,1,4.47,90,11.31,385,0
2009,185,1885,1345,4,9,0,5200,1743,1499,0,1,291,1,3.88,91,12.15,285,3
2018,114,1655,1326,4,6,0,4547,1766,1417,0,1,100,1,3.77,96,12.35,358,0
2017,138,1802,1490,5,7,0,4321,1844,1445,1,0,320,1,5.53,133,12.77,317,2
2007,97,1928,870,5,4,0,4087,1821,1276,1,0,122,1,3.5,90,11.4,459,0
2021,158,2018,1623,4,7,0,4892,1926,1480,1,0,148,1,5.24,118,12.71,529,2
2008,198,2838,1231,5,5,1,4395,1834,1458,2,0,238,1,4.15,107,10.7,276,3
2021,137,1377,1705,5,3,0,4263,1814,1362,0,1,257,1,6.04,129,13.82,374,3
2005,132,2230,1280,3,3,0,4601,1756,1442,0,0,203,0,5.86,166,12.06,354,1
2020,95,1904,1388,5,5,0,4695,1697,1429,0,1,274,1,4.33,103,12.27,425,1
2020,131,1014,1878,4,6,1,4690,1734,1591,0,1,172,1,5.05,100,13.66,393,3
2020,76,2185,1331,4,4,1,4506,1724,1365,1,1,196,1,3.83,75,12.87,344,0
2018,103,2434,1710,4,3,1,4548,1600,1477,1,0,202,1,5.2,97,12.86,388,0
2014,149,1371,1410,5,4,1,4570,1699,1363,0,1,188,1,3.59,75,12.19,360,1
2019,193,1796,1504,4,4,0,4601,1908,1405,2,1,104,1,5.5,120,12.24,526,3
2010,252,937,1417,4,7,0,4627,1809,1472,0,0,219,1,3.5,75,9.34,312,3
2020,117,1171,1612,2,5,0,4828,1750,1433,1,1,213,0,5.06,131,12.71,409,0
2016,197,2324,1229,4,5,1,4517,1812,1450,0,0,285,1,5.98,127,11.3,427,2
2014,150,1567,1154,5,3,0,4255,1624,1477,1,1,143,0,4.01,89,11.76,413,0
2015,134,1246,1240,5,6,0,4457,1803,1411,0,1,182,0,3.79,75,11.3,352,1
2016,157,1915,1425,2,9,1,4726,1882,1521,2,1,292,1,4.09,77,10.65,509,3
2005,142,1539,1345,5,7,1,3964,1770,1426,2,1,238,0,4.26,75,13.11,181,2
2007,144,1565,1578,5,5,1,3966,1638,1442,0,1,253,1,3.5,89,12.42,269,1
2009,124,2170,1726,4,4,0,4775,1747,1479,0,0,247,1,7.69,136,13.67,445,0
2007,84,1219,1156,2,4,0,4956,1882,1468,1,0,247,1,4.51,81,12.58,311,0
2013,78,1347,1217,4,2,0,4120,1801,1502,0,1,329,0,3.5,92,12.12,289,1
2018,166,1877,1041,2,2,0,4530,1667,1475,0,1,225,1,3.74,87,9.69,338,3
2018,129,2285,1908,4,8,0,4380,1969,1488,0,1,159,1,6.27,140,13.09,309,0
2014,116,2419,1476,4,8,0,4422,1680,1424,2,0,258,1,5.92,136,12.34,435,3
2022,140,1467,1520,5,9,1,4592,1761,1364,1,0,186,1,3.87,91,12.43,462,2
2016,172,2269,1065,4,7,0,4112,1697,1336,0,1,213,1,4.42,99,10.5,378,3
2006,147,1408,1400,5,9,0,4168,1697,1316,2,1,242,1,3.86,75,12.24,466,2
2020,114,2713,1527,5,5,1,4410,1744,1591,0,0,171,1,4.76,109,12.59,254,3
2016,189,1233,1337,2,4,0,4456,1831,1273,0,0,189,1,4.93,115,11.8,385,2
2017,203,2464,1669,4,3,0,4162,1883,1545,2,1,249,1,5.78,147,11.82,497,3
2016,160,1472,1978,5,3,0,4737,1749,1384,0,1,187,1,4.06,75,13.4,472,3
2016,179,2807,1163,5,7,0,4375,1699,1545,0,0,278,1,4.95,98,11.15,507,3
2006,190,2096,1144,4,2,1,4373,1818,1274,0,0,161,1,5.73,126,11.33,323,2
2016,185,1292,1181,4,9,0,4585,1821,1431,1,0,161,1,4.28,82,10.45,464,0
2020,165,1539,1802,4,8,0,4461,1799,1566,0,0,334,1,5.13,77,10.58,342,2
2011,164,2191,1661,5,5,1,4751,1802,1507,0,0,128,1,5.25,113,12.01,439,2
2017,161,2326,1366,5,7,0,4220,1771,1423,0,0,218,1,5.71,141,11.46,492,2
2005,96,1765,1409,2,3,1,4081,1788,1295,0,1,331,1,3.5,75,12.07,299,0
2011,168,1822,1196,3,5,0,4407,1765,1344,0,0,218,1,3.65,86,10.27,210,3
2013,86,2179,1623,3,2,1,4518,1866,1561,0,1,301,0,5.43,120,12.97,549,0
2024,108,1866,1305,5,2,0,4128,1958,1422,2,0,259,1,5.59,123,12.05,418,2
2009,192,1153,1335,5,2,0,4084,1794,1444,1,0,220,0,3.79,85,11.22,362,2
2010,174,1394,1552,5,8,1,4555,1779,1473,1,0,212,1,5.45,135,10.44,367,3
2013,199,1918,1353,3,7,1,4273,1800,1346,2,0,100,1,3.5,75,10.07,186,3
2024,129,2408,1341,4,9,0,4064,1727,1483,2,1,201,1,3.5,85,12.91,390,3
2022,94,2608,1403,3,9,0,4790,1841,1416,1,1,234,1,6.0,111,12.66,338,2
2005,130,2190,1599,4,9,0,4310,1815,1473,0,1,234,1,6.52,128,12.74,382,1
2009,144,1944,1812,4,9,1,4845,1746,1404,1,1,368,0,6.15,149,12.2,389,3
2021,143,2174,1546,5,2,1,4509,1852,1324,0,1,237,1,5.19,91,12.47,180,1
2006,185,1467,1601,3,8,0,4588,1782,1416,0,1,258,1,5.49,117,11.86,426,1
2022,126,1723,1350,4,7,0,4437,1702,1501,0,1,290,1,4.16,121,11.92,395,3
2010,154,1388,1223,5,3,0,3703,1808,1482,0,1,252,1,3.83,96,10.82,394,1
2023,100,1176,1563,4,3,1,4159,1799,1452,0,0,215,1,3.5,75,12.2,357,1
2010,158,1967,1443,2,9,0,4462,1857,1522,1,0,215,1,4.93,100,12.97,385,2
2013,140,1893,1044,5,9,0,4609,1847,1434,0,1,199,1,3.5,75,11.3,398,3
2018,110,2144,1318,4,4,1,3963,1771,1455,0,1,247,1,3.5,86,12.89,394,2
2007,131,2073,1379,4,2,0,4484,1742,1412,0,0,210,1,5.12,97,11.87,422,0
2016,133,1921,1272,4,4,0,4163,1780,1527,2,1,257,0,3.5,75,11.86,399,2
2015,129,2078,1770,5,2,0,4570,1809,1473,0,0,159,1,4.58,111,12.41,548,1
2020,211,1779,1520,4,7,0,4494,1819,1405,0,1,229,1,4.72,80,12.42,314,3
2024,136,2006,1743,4,5,1,4723,1804,1331,1,1,313,1,4.86,89,13.18,350,2
2018,130,1437,1466,4,2,0,4820,1773,1538,1,0,207,1,4.29,93,11.7,540,0
2013,60,1985,1420,2,9,0,4638,1860,1390,0,1,331,1,3.5,77,12.98,369,1
2013,104,2134,1166,5,8,0,4758,1726,1456,1,1,230,1,5.73,103,12.83,469,2
2013,129,1465,1403,3,9,1,4395,1978,1638,0,1,217,1,3.5,77,10.65,394,3
2021,113,1826,1403,4,9,0,5200,1841,1514,2,1,227,1,4.0,95,12.74,375,1
2011,195,1488,1058,4,2,0,4134,1690,1579,0,1,201,1,3.5,75,11.2,462,2
2008,133,1537,1265,4,8,0,4342,1795,1407,1,0,101,1,5.38,145,11.28,423,0
2011,192,1238,1319,4,8,0,4770,1842,1536,0,1,273,1,4.45,102,11.53,249,2
2005,142,2433,1503,4,8,1,4726,1752,1452,1,0,352,1,4.86,88,12.4,400,0
2007,141,2333,1515,4,4,1,4646,1660,1479,0,0,249,0,4.68,119,11.4,292,0
2006,136,2069,1255,3,5,1,4703,1697,1612,0,0,252,1,4.25,82,12.18,499,1
2020,140,2786,1517,5,9,0,3875,1823,1428,1,0,209,1,4.99,112,12.33,526,1
2019,209,1705,1354,5,2,0,4977,1640,1452,1,1,289,1,4.75,98,11.21,557,3
2018,60,3316,850,4,7,1,4439,1664,1378,0,1,218,1,3.5,79,12.14,409,3
2014,60,1686,1279,4,8,0,4874,1823,1521,2,1,236,1,4.77,98,13.36,347,3
2019,118,1928,1670,2,8,1,3890,1762,1405,0,0,126,1,5.21,103,14.11,396,1
2008,141,1601,980,2,6,0,4577,1724,1532,0,1,188,1,3.5,75,11.73,297,0
2023,168,1986,1428,4,8,0,4331,1740,1318,0,1,242,1,3.5,75,12.43,586,3
2015,159,2218,1796,5,9,0,4672,1662,1494,0,0,274,1,6.21,157,12.6,490,0
2023,125,1743,1210,5,8,0,4595,1819,1399,2,1,276,1,3.5,75,13.16,409,1
2008,181,2688,1401,4,2,0,4610,1715,1508,0,0,125,1,5.96,130,10.55,472,2
2014,181,1920,1074,5,3,0,4182,1737,1449,2,1,131,1,3.77,84,10.03,329,1
2018,147,1935,1807,4,4,0,4483,1808,1407,0,0,255,1,5.6,121,12.74,280,1
2014,179,1346,1379,4,4,0,4446,1759,1419,1,1,175,1,3.5,87,12.11,180,1
2013,151,2009,1412,4,4,1,4649,1724,1382,0,1,274,1,5.25,87,10.57,389,2
2008,118,1733,1739,4,3,0,4797,1621,1517,1,1,122,1,5.6,133,13.16,366,2
2012,168,1496,1565,5,7,1,4545,1809,1366,2,0,214,1,6.16,107,11.81,427,1
2009,144,1412,1181,4,2,0,4117,1786,1429,0,0,218,1,3.96,81,11.88,373,1
2011,140,3136,1238,4,8,0,4532,1739,1478,0,1,249,1,6.05,109,12.15,423,1
