anio,potencia_hp,cilindrada_cm3,peso_kg,puertas,airbags,tipo_combustible,largo_mm,ancho_mm,alto_mm,traccion,transmision_automatica,torque_nm,seguridad_esp_abs,consumo_litros_100km,emisiones_co2_g_km,cero_a_cien_seg,capacidad_baul_litros,rango_precio
2023,77,800,1331,4,9,1,4298,1856,1409,1,0,242,0,3.5,75,12.56,250,0
2017,139,999,1624,4,8,0,4507,1714,1371,1,0,366,1,4.46,89,12.78,332,2
2018,160,1936,1343,4,9,0,4596,1851,1519,1,1,181,1,3.84,75,12.22,455,3
2022,181,1776,1554,5,9,0,4031,1809,1365,2,0,208,1,5.09,96,11.34,365,3
2016,134,1675,1162,5,2,0,4600,1690,1485,0,1,216,1,4.07,86,11.61,299,1
2020,182,1942,1426,5,5,0,5172,1879,1411,0,0,100,1,4.61,93,10.77,462,2
2021,141,2101,1504,4,5,1,4276,1720,1314,0,1,255,0,4.17,100,13.16,467,2
2009,136,800,1203,4,4,1,4453,1702,1579,1,0,216,1,3.5,75,10.73,398,1
2006,163,1649,1296,5,6,0,4705,1811,1498,1,1,108,1,4.89,110,11.66,361,2
2011,182,1386,1267,5,8,0,4860,1734,1493,2,1,205,1,3.95,75,10.78,409,3
2010,126,1183,1583,5,3,0,4290,1809,1336,0,1,229,1,5.72,143,12.72,360,1
2022,130,1526,1221,4,3,0,4201,1761,1439,0,1,169,1,3.5,88,12.01,421,2
2023,134,1739,1510,4,4,0,4187,1803,1471,0,0,282,1,4.53,89,12.45,273,2
2005,143,1667,1782,4,9,0,4827,1844,1389,1,1,186,1,5.88,116,12.65,495,1
2014,104,1073,1490,5,2,1,4767,1778,1581,0,1,134,1,3.5,75,13.06,388,0
2021,181,1558,998,5,7,0,3835,1848,1287,1,1,266,1,3.5,87,10.59,572,3
2007,124,2808,1433,4,3,0,3842,1846,1505,0,1,212,1,6.42,124,12.05,180,1
2020,158,1273,1662,4,8,1,4117,1716,1297,0,0,228,1,3.95,75,11.9,289,2
2007,107,956,1330,4,9,0,4037,1847,1323,0,0,128,1,4.77,89,11.86,231,0
2014,154,1938,1679,4,7,0,4618,1829,1346,0,1,141,1,4.9,111,13.22,382,1
2021,156,2098,1556,4,7,1,4560,1791,1494,1,0,162,1,4.72,106,12.39,415,3
2011,123,2032,1507,3,2,0,5090,1867,1391,1,1,211,1,5.5,110,12.83,336,1
2011,221,1240,1337,2,8,1,4735,1909,1394,0,1,212,1,3.5,81,10.26,399,3
2010,155,2299,1274,4,7,0,4530,1840,1375,0,1,299,1,4.37,97,11.7,395,1
2019,211,1407,1338,4,2,1,4853,1667,1329,1,0,308,1,3.5,75,11.19,310,3
2010,178,1233,1418,3,5,1,4222,1815,1376,1,0,228,1,4.2,92,10.79,367,2
2024,114,1496,1533,5,5,1,4068,1771,1368,2,0,215,0,4.02,94,12.88,262,3
